<ticker>,<per>,<date>,<high>,<low>,<close>,<open>,<vol>
TENERGY,D,1/7/2022,13.2400,13.0600,13.1800,13.1000,58395
FRIGO,D,1/7/2022,0.1870,0.1850,0.1850,0.1870,181318
VARG,D,1/7/2022,0.1100,0.1100,0.1100,0.1100,0
FOYRK,D,1/7/2022,4.1550,4.0200,4.1250,4.0700,124017
ELBE,D,1/7/2022,5.9500,5.9000,5.9000,5.9500,206
KAMP,D,1/7/2022,2.3300,2.2100,2.3200,2.2100,2188
DAP,D,1/7/2022,4996.20,4882.71,4980.52,4882.71,0
FIER,D,1/7/2022,0.6160,0.5800,0.5800,0.6100,6500
PPA,D,1/7/2022,17.4000,17.2600,17.4000,17.3000,3495
GEBKA,D,1/7/2022,1.2600,1.1850,1.1950,1.2350,3271
MEDIC,D,1/7/2022,5.2000,5.0200,5.0200,5.1800,3301
EYDAP,D,1/7/2022,7.7700,7.6800,7.7600,7.7700,16203
XYLEK,D,1/7/2022,0.2560,0.2440,0.2480,0.2480,455005
AAAP,D,1/7/2022,3.2000,3.2000,3.2000,3.2000,0
XYLEP,D,1/7/2022,0.2800,0.2800,0.2800,0.2800,0
IATR,D,1/7/2022,1.7200,1.7000,1.7200,1.7000,427
REVOIL,D,1/7/2022,1.2900,1.2600,1.2700,1.2800,4888
ILYDA,D,1/7/2022,1.5100,1.4100,1.5000,1.4100,14379
LANAC,D,1/7/2022,1.0800,0.9900,1.0800,0.9950,4508
HELMSI,D,1/7/2022,1383.00,1378.14,1382.07,1380.29,0
MPP,D,1/7/2022,0.0570,0.0570,0.0570,0.0570,0
MODA,D,1/7/2022,0.6350,0.6000,0.6250,0.6200,7250
MATHIO,D,1/7/2022,0.5300,0.4880,0.5100,0.4880,4419
VIS,D,1/7/2022,1.0000,1.0000,1.0000,1.0000,0
DTR,D,1/7/2022,600.56,576.10,596.08,578.50,0
EEE,D,1/7/2022,31.3000,30.9800,31.0100,31.2200,6140
MOYZK,D,1/7/2022,0.6460,0.6200,0.6380,0.6460,340
DROME,D,1/7/2022,0.3790,0.3700,0.3770,0.3700,15331
SAGD,D,1/7/2022,1558.94,1547.71,1555.64,1551.23,0
ELSTR,D,1/7/2022,2.6500,2.4700,2.6500,2.4700,41563
LAVI,D,1/7/2022,0.5800,0.5750,0.5800,0.5750,35150
INTET,D,1/7/2022,0.9000,0.8520,0.8980,0.8520,475
INTRK,D,1/7/2022,1.8440,1.7760,1.8280,1.7760,73581
DTX,D,1/7/2022,2238.39,2187.14,2222.37,2204.56,0
OPTRON,D,1/7/2022,2.3200,2.0800,2.0800,2.3200,603
ATEK,D,1/7/2022,0.4320,0.4320,0.4320,0.4320,0
PAIR,D,1/7/2022,0.9800,0.9300,0.9660,0.9300,11109
DAIOS,D,1/7/2022,3.2600,3.2600,3.2600,3.2600,0
TITC,D,1/7/2022,14.1400,13.8000,14.0800,13.8000,36310
AEGEK,D,1/7/2022,0.0350,0.0350,0.0350,0.0350,0
INKAT,D,1/7/2022,2.3800,2.3100,2.3600,2.3200,38028
OTOEL,D,1/7/2022,9.1500,8.9100,8.9200,9.1500,6738
ATTICA,D,1/7/2022,1.0600,1.0200,1.0550,1.0200,4273
CENTR,D,1/7/2022,0.2890,0.2690,0.2720,0.2770,192007
FTSEMSFW,D,1/7/2022,4810.36,4749.65,4791.58,4786.34,0
SAR,D,1/7/2022,8.7500,8.6200,8.7100,8.7100,195279
EVROF,D,1/7/2022,0.9540,0.9540,0.9540,0.9540,50
DEM,D,1/7/2022,52.55,51.18,52.42,51.71,0
VIO,D,1/7/2022,4.5950,4.5350,4.5350,4.5500,75212
ADMIE,D,1/7/2022,2.5000,2.4650,2.4750,2.4900,40060
DTP,D,1/7/2022,11696.01,11596.43,11607.69,11686.32,0
ANEPO,D,1/7/2022,0.0900,0.0900,0.0900,0.0900,0
BIOKA,D,1/7/2022,1.5800,1.5800,1.5800,1.5800,0
AKRIT,D,1/7/2022,0.5050,0.5050,0.6200,0.5050,13
BRIQ,D,1/7/2022,2.2100,2.1900,2.1900,2.1900,74190
ALPHA,D,1/7/2022,1.1070,1.0640,1.1000,1.0700,10243662
PREMIA,D,1/7/2022,1.7100,1.6800,1.7100,1.7000,86040
FTSED,D,1/7/2022,3158.24,3135.13,3137.22,3158.24,0
MPITR,D,1/7/2022,0.6900,0.6900,0.6900,0.6900,2000
AVE,D,1/7/2022,0.4770,0.4680,0.4770,0.4690,37665
FLEXO,D,1/7/2022,6.8500,6.8500,6.8500,6.8500,0
KARE,D,1/7/2022,288.0000,284.0000,286.0000,284.0000,55
DKY,D,1/7/2022,3065.03,3032.56,3064.18,3059.89,0
GD,D,1/7/2022,908.40,901.86,906.48,903.91,0
DPY,D,1/7/2022,7539.44,7426.89,7484.58,7447.68,0
ASCO,D,1/7/2022,2.1300,2.0900,2.1200,2.1100,919
CENER,D,1/7/2022,3.1600,3.0900,3.1300,3.1300,99033
ENTER,D,1/7/2022,5.9400,5.7000,5.9000,5.7000,32172
NAYP,D,1/7/2022,1.1700,1.1300,1.1700,1.1300,675
ATRUST,D,1/7/2022,5.4000,5.4000,5.4000,5.4000,200
